1JANATAMF,2010-01-02,2010-01-01,11.14,8.14
1st ICB,2010-01-02,2010-01-01,168.74,170.74
1STPRIMFMF,2010-01-02,2010-01-01,15.76,21.76
2nd ICB,2010-01-02,2010-01-01,103.74,103.74
3rd ICB,2010-01-02,2010-01-01,74.67,73.67
4th ICB,2010-01-02,2010-01-01,82.19,79.19
5th ICB,2010-01-02,2010-01-01,56.44,54.44
6th ICB,2010-01-02,2010-01-01,38.83,38.83
7th ICB,2010-01-02,2010-01-01,38.83,35.83
8th ICB,2010-01-02,2010-01-01,32.8,36.8
ABB1STMF ,2010-01-02,2010-01-01,11.27,12.27
AIBL1STIMF,2010-01-02,2010-01-01,10.34,9.34
AIMS1STMF,2010-01-02,2010-01-01,16.13,17.13
DBH1STMF,2010-01-02,2010-01-01,10.13,14.13
EBL1STMF,2010-01-02,2010-01-01,12.18,13.18
EBLNRBMF,2010-01-02,2010-01-01,11.21,13.21
EXIM1STMF,2010-01-02,2010-01-01,13.33,11.33
FBFIF,2010-01-02,2010-01-01,11.38,15.38
GRAMEEN1,2010-01-02,2010-01-01,20.11,25.11
GRAMEENS2,2010-01-02,2010-01-01,12.7,11.7
GREENDELMF,2010-01-02,2010-01-01,9.76,10.76
ICB1STNRB,2010-01-02,2010-01-01,33.85,38.85
ICB2NDNRB,2010-01-02,2010-01-01,14.94,16.94
ICB3RDNRB,2010-01-02,2010-01-01,10.77,15.77
ICBAMCL2ND,2010-01-02,2010-01-01,12.11,16.11
ICBEPMF1S1,2010-01-02,2010-01-01,11.055,17.055
ICBISLAMIC,2010-01-02,2010-01-01,24.04,26.04
ICBSONALI1,2010-01-02,2010-01-01,10.34,16.34
IFIC1STMF,2010-01-02,2010-01-01,11.89,12.89
IFILISLMF1,2010-01-02,2010-01-01,10.54,9.54
LRGLOBMF1,2010-01-02,2010-01-01,10.92,16.92
MBL1STMF,2010-01-02,2010-01-01,10.11,15.11
 NCCBLMF1 ,2010-01-02,2010-01-01,11.76,13.76
NLI1STMF ,2010-01-02,2010-01-01,11.52,16.52
PF1STMF,2010-01-02,2010-01-01,10.79,8.79
PHPMF1,2010-01-02,2010-01-01,11.3,15.3
POPULAR1MF,2010-01-02,2010-01-01,11.88,16.88
PRIME1ICBA,2010-01-02,2010-01-01,10.86,8.86
RELIANCE1,2010-01-02,2010-01-01,11.96,17.96
SEBL1STMF,2010-01-02,2010-01-01,11.71,9.71
TRUSTB1MF,2010-01-02,2010-01-01,11.62,10.62
1JANATAMF,2010-01-09,2010-01-08,11.28,16.28284609
1st ICB,2010-01-09,2010-01-08,169.39,167.3929685
1STPRIMFMF,2010-01-09,2010-01-08,15.89,18.89157962
2nd ICB,2010-01-09,2010-01-08,104.66,102.655207
3rd ICB,2010-01-09,2010-01-08,75.64,75.63571025
4th ICB,2010-01-09,2010-01-08,82.21,84.21293355
5th ICB,2010-01-09,2010-01-08,57.00,58.0027628
6th ICB,2010-01-09,2010-01-08,38.90,43.90216715
7th ICB,2010-01-09,2010-01-08,39.26,39.26183194
8th ICB,2010-01-09,2010-01-08,33.52,32.52215488
ABB1STMF ,2010-01-09,2010-01-08,11.91,14.9109546
AIBL1STIMF,2010-01-09,2010-01-08,11.21,10.21072684
AIMS1STMF,2010-01-09,2010-01-08,16.83,22.82839948
DBH1STMF,2010-01-09,2010-01-08,10.39,15.38905309
EBL1STMF,2010-01-09,2010-01-08,12.78,14.77598645
EBLNRBMF,2010-01-09,2010-01-08,11.57,11.57069954
EXIM1STMF,2010-01-09,2010-01-08,14.20,18.1998396
FBFIF,2010-01-09,2010-01-08,12.16,15.16204373
GRAMEEN1,2010-01-09,2010-01-08,20.68,22.68130036
GRAMEENS2,2010-01-09,2010-01-08,13.64,18.64468706
GREENDELMF,2010-01-09,2010-01-08,10.26,10.26050242
ICB1STNRB,2010-01-09,2010-01-08,34.10,33.10299615
ICB2NDNRB,2010-01-09,2010-01-08,15.55,20.55125588
ICB3RDNRB,2010-01-09,2010-01-08,11.16,9.164122288
ICBAMCL2ND,2010-01-09,2010-01-08,12.98,14.97762832
ICBEPMF1S1,2010-01-09,2010-01-08,11.98,11.9785869
ICBISLAMIC,2010-01-09,2010-01-08,24.43,23.42750228
ICBSONALI1,2010-01-09,2010-01-08,10.70,14.70107497
IFIC1STMF,2010-01-09,2010-01-08,12.62,10.61878967
IFILISLMF1,2010-01-09,2010-01-08,11.12,11.11780921
LRGLOBMF1,2010-01-09,2010-01-08,11.67,17.66556673
MBL1STMF,2010-01-09,2010-01-08,10.34,9.339016933
 NCCBLMF1 ,2010-01-09,2010-01-08,12.25,9.25198647
NLI1STMF ,2010-01-09,2010-01-08,11.89,16.89405193
PF1STMF,2010-01-09,2010-01-08,11.20,13.19945696
PHPMF1,2010-01-09,2010-01-08,12.13,14.12972801
POPULAR1MF,2010-01-09,2010-01-08,12.48,12.48475751
PRIME1ICBA,2010-01-09,2010-01-08,11.33,12.33284606
RELIANCE1,2010-01-09,2010-01-08,12.37,10.36622618
SEBL1STMF,2010-01-09,2010-01-08,12.54,18.53756778
TRUSTB1MF,2010-01-09,2010-01-08,11.62,11.62159085
1JANATAMF,2010-01-16,2010-01-15,11.62,13.6228024
1st ICB,2010-01-16,2010-01-15,169.73,170.7274753
1STPRIMFMF,2010-01-16,2010-01-15,15.96,16.9570902
2nd ICB,2010-01-16,2010-01-15,105.50,103.497975
3rd ICB,2010-01-16,2010-01-15,76.52,82.51682572
4th ICB,2010-01-16,2010-01-15,82.94,84.94037689
5th ICB,2010-01-16,2010-01-15,57.99,54.98863264
6th ICB,2010-01-16,2010-01-15,39.51,39.51218662
7th ICB,2010-01-16,2010-01-15,39.61,45.60806871
8th ICB,2010-01-16,2010-01-15,34.05,32.0520051
ABB1STMF ,2010-01-16,2010-01-15,11.99,14.98985286
AIBL1STIMF,2010-01-16,2010-01-15,12.04,15.04281625
AIMS1STMF,2010-01-16,2010-01-15,17.42,20.4233847
DBH1STMF,2010-01-16,2010-01-15,11.30,9.302104153
EBL1STMF,2010-01-16,2010-01-15,13.70,11.6950666
EBLNRBMF,2010-01-16,2010-01-15,12.05,10.05310722
EXIM1STMF,2010-01-16,2010-01-15,14.92,16.91963983
FBFIF,2010-01-16,2010-01-15,12.99,11.99261788
GRAMEEN1,2010-01-16,2010-01-15,21.42,22.42139778
GRAMEENS2,2010-01-16,2010-01-15,14.45,14.44531996
GREENDELMF,2010-01-16,2010-01-15,10.32,13.31539924
ICB1STNRB,2010-01-16,2010-01-15,34.55,38.5506674
ICB2NDNRB,2010-01-16,2010-01-15,15.96,18.96366735
ICB3RDNRB,2010-01-16,2010-01-15,11.85,13.85059996
ICBAMCL2ND,2010-01-16,2010-01-15,13.82,13.81668936
ICBEPMF1S1,2010-01-16,2010-01-15,12.19,15.18523801
ICBISLAMIC,2010-01-16,2010-01-15,24.82,24.81968892
ICBSONALI1,2010-01-16,2010-01-15,10.88,12.88486971
IFIC1STMF,2010-01-16,2010-01-15,13.00,16.9999998
IFILISLMF1,2010-01-16,2010-01-15,11.97,10.96729167
LRGLOBMF1,2010-01-16,2010-01-15,12.61,18.61218969
MBL1STMF,2010-01-16,2010-01-15,11.10,15.10481543
 NCCBLMF1 ,2010-01-16,2010-01-15,12.97,10.96549337
NLI1STMF ,2010-01-16,2010-01-15,12.05,15.04895712
PF1STMF,2010-01-16,2010-01-15,12.18,11.17652714
PHPMF1,2010-01-16,2010-01-15,13.02,13.01751121
